English,Afrikaans,Arabic,Latin,Belarusian,Bulgarian,Catalan,Czech,Welsh,Danish,German,Greek,Esperanto,Spanish,Estonian,Basque,Farsi,Finnish,French,Galician,Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian,Japanese,Georgian,Kazakh,Kannada,Korean,Kyrgyz,Lithuanian,Latvian,Maori,FYRO Macedonian,Mongolian,Marathi,Malay,Maltese,Norwegian,Dutch,Punjabi,Polish,Pashto,Portuguese,Romanian,Russian,Slovak,Slovenian,Albanian,Swedish,Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Tatar,Ukrainian,Urdu,Syriac,Vietnamese,Xhosa,Chinese,Zulu
part,deel,جزء,qismən,частка,част,part,část,gwahanwyd,en del,Teil,μέρος,parto,parte,osa,banandu,قسمت,osa,partie,parte,ભાગ,חֵלֶק,अंश,dio,rész,մաս,bagian,hluti,parte,部,დანაწილება,бөлу,ಭಾಗ,부분,бөлүгү,dalis. \ T,daļa,wehe,or,хэсэг,भाग,bahagian.,parti,del,een deel,ਹਿੱਸਾ,część,يوه برخه,papel,parte,часть,časť,del,pjesë,del,sehemu.,பகுதி,భాగం,ส่วนหนึ่ง,Bahagi,Bölüm,өлеш,частина,حصہ,qism,phần,inxenye,部分,ingxenye
history,geskiedenis,التاريخ,tarix,гісторыя,История,història,Dějiny,hanes,historie,Geschichte,ιστορία,historio,historia,ajalugu,historia,تاریخ,historia,l'histoire,Historia,ઇતિહાસ,הִיסטוֹרִיָה,इतिहास,povijest,történelem,պատմություն,sejarah,saga,storia,歴史,ისტორია,Тарих,ಇತಿಹಾಸ,역사,тарых,istorija,vēsture,tāhuhu kōrero,Историја,түүх,इतिहास,Sejarah,Storja,historie,geschiedenis,ਇਤਿਹਾਸ,historia,تاریخ,história,istorie,история,história,Zgodovina,histori,historia,Historia,வரலாறு,చరిత్ర,ประวัติศาสตร์,Kasaysayan,Tarih,Тарих,історія,تاریخ,tarix,Môn lịch sử,Imbali,历史,umlando
search,Soek,بحث,axtarış,шукаць,Търсене,cerca,Vyhledávání,chwiliwyd,Søg,Suche,Αναζήτηση,Serĉi,búsqueda,otsing,araketa,جستجو کردن,Hae,chercher,Busca,શોધ,לחפש,तलाशी,traži,keresés,որոնել,Cari,leit.,ricerca,探す,ძებნა,іздеу,ಹುಡುಕಿ Kannada,검색,издөө,Paieška,Meklēt,rapu,пребарување,эрэл хайгуул хийх,शोध,cari,Fittex,Søk,zoekopdracht,ਖੋਜ,Szukaj,لټون,procurar,căutare,поиск,Vyhľadávanie,Iskanje,kërkim,Sök,Utafutaji,தேடல்,వెతకండి,ค้นหา,Search.,Ara,Эзләү,пошук,تلاش,qidirmoq,Tìm kiếm,ukukhankanya,搜索,sesha
Hello,Hallo,مرحبا,Salam,добры дзень,Здравейте,Hola,Ahoj,Helo,Hej,Hallo,γεια σας,Saluton,Hola,Tere,Agur,سلام,Hei,Bonjour,Ola.,નમસ્તે,שלום,नमस्ते,zdravo,Helló,Բարեւ Ձեզ,Halo,Halló,Ciao,こんにちは,გამარჯობა,Сәлеметсіз бе,ಹಲೋ,안녕하세요,салам,Sveiki,Sveiki,Ora,Здраво,Сайн уу,नमस्कार,Hello.,Bongu,Hallo,Hallo,ਸਤ ਸ੍ਰੀ ਅਕਾਲ,Witaj,سلام,Olá,Buna ziua,Привет,Ahoj,zdravo,Përshëndetje,Hej,Hello.,வணக்கம்,హలో,สวัสดี,Kamusta,Merhaba,Сәлам,Здрастуйте,ہیلو,Salom,xin chào,Mholweni,你好,Sawubona
police,polisie,شرطة,polis,паліцыя,Полиция,policia,policie,plismona ',politi,Polizei,αστυνομία,Polico,policía,politsei,polizia,پلیس,Poliisi,police,Policía,પોલીસ,מִשׁטָרָה,पुलिस,policija,rendőrség,ոստիկանություն,polisi,lögregla,Polizia Stradale,警察,პოლიცია,полиция,ಪೊಲೀಸರು,경찰,полиция,Policija,policija,pirihimana,полицијата,цагдаа,पोलिस,polis,Pulizija,politiet,politie,ਪੁਲਿਸ,Policja,پولیس,polícia,politie,полиция,polícia,Policija,polici,polis,Polisi.,காவல்,పోలీస్,ตำรวจ,Pulisya,polis,полиция,поліцейський,پولیس,politsiya,cảnh sát viên,Mapolisa,警察,iphoyisa
thought,gedink,فكر,fikirləşmək,думка,мисъл,pensament,myslel,meddwl,tanke,habe gedacht,σκέψη,pensis,pensó,mõte,pentsaera,فکر,ajatus,pensée,Pensamento,વિચારવું,מַחֲשָׁבָה,विचार,misao,gondolat,միտք,pikiran,hugsun,pensiero,考え,აზრი,ой,ವಿಚಾರ,생각,ой,Maniau,doma,whakaaro,мисла,бодол,विचार,difikirkannya,ħsibt,tenkte,gedachte,ਸੋਚਿਆ,myśl,فکر وکړ,pensamento,gând,мысль,myšlienka,mislil,mendim,trodde,walidhani.,சிந்தனை,ఆలోచన,คิด,naisip,düşünce,уй,подуманий,سوچا,o'ylamoq,tư tưởng,ingcinga,想法,umcabango
help,help,مساعدة,kömək etmək,дапамога,помогне,ajudar,Pomoc,chynorthwyaf,Hjælp,Hilfe,βοήθεια,Helpo,ayuda,aitama,laguntza,کمک,auta,aider,axuda,મદદ,עֶזרָה,मदद,Pomozite,Segítség,Օգնություն,Tolong,hjálp,aiuto,ヘルプ,დახმარება,Көмектесіңдер,ಸಹಾಯ,돕다,жардам,Pagalba,palīdzēt,āwhina,Помош,Туслаач,मदत,bantuan,għajnuna,hjelp,helpen,ਮਦਦ ਕਰੋ,Wsparcie,مرسته,ajuda,Ajutor,помощь,Pomoc,Pomoč,ndihmoj,hjälp,Msaada,உதவி,సహాయం,ช่วย,Tulong,Yardım Edin,Ярдәм итегез,довідка,مدد,Yordam bering,Cứu giúp,Nceda,帮助,Usizo
request,versoek,طلب,istək,просьба,запитване,sol·licitar,žádost,gais,anmodning,Anfrage,αίτηση,peto,solicitud,taotlus,eskatu,درخواست,pyyntö,demande,Solicitude,વિનંતી કરવી,בַּקָשָׁה,प्रार्थना,zahtjev,kérés,խնդրել,meminta,beiðni um,richiesta,リクエスト,თხოვნა,өтініш,ಕೋರಿಕೆ,요구,сурам,Prašymas,pieprasījums,tono,Барање,гүйлт,विनंती,permintaan,Talba,be om,verzoek,ਬੇਨਤੀ,wniosek,غوښتنه,solicitar,cerere,запрос,požiadavka,prošnja,kërkesë,begäran,Ombi,வேண்டுகோள்,అభ్యర్థన,ขอ,hiling,rica etmek,сорау,запит,درخواست,talab qilmoq,yêu cầu,isicelo,要求,nxusa
kind,tipe,طيب القلب,mehriban,добры,мил,amable,druh,caredig,venlig,Art,είδος,afabla,amable,lahke,maitagarri,نوع,ystävällinen,gentil,amable,પ્રકારની,סוג,मेहरबान,ljubazan,kedves,բարի,baik,góður,tipo,親切,კეთილი,ақ көңіл,ರೀತಿಯ,친절한,түрү,malonus,veids,atawhai,Вид,эелдэг,प्रकार,jenis,Kind,snill,vriendelijk,ਦਿਆਲੂ,uprzejmy,مهربان,Gentil,drăguț,своего рода,milý,prijazno,lloj,snäll,aina.,கருணை,రకం,ใจดี,uri,tür,игелекле,добрий,قسمت,mehribon,Tốt bụng,uhlobo,种类,-nomusa
month,maand,شهر,ay,месяц,месец,mes,Měsíc,mis,måned,Monat,μήνας,monato,mes,kuu,hil,ماه,kuukausi,mois,mes,માસ,חוֹדֶשׁ,महीना,mjesec,hónap,ամիս,bulan,mánuður,mese,月,თვე,ай,ತಿಂಗಳು,월,ай,mėnuo,mēnesis,marama,месец,сар,महिना,bulan,Xahar,måned,maand,ਮਹੀਨਾ,miesiąc,میاشت,mês,lună,месяц,mesiac,mesec,muaj,månad,mwezi,மாதம்,నెల.,เดือน,buwan,ay,ай,місяць,مہینہ,oy,tháng,inyanga,月,inyanga
brother,broer,شقيق,qardaş,брат,брат,germà,bratr,mrawd,bror,Bruder,αδελφός,Frato,hermano,vend,neba,برادر,veli,frère,Brother.,ભાઈ,אָח,भाई,brat,fiú testvér,եղբայր,saudara laki-laki,bróður,fratello,兄弟,ძმა,іні,ಸೋದರ,형제,бир тууган,brolis,brālis,tuakana,брат,ах,भाऊ,abang,aħwa,bror,broer,ਭਰਾ,brat,ورور,irmão,frate,родной брат,brat,Brat,vëlla,bror,Ndugu,சகோதரன்,సోదరుడు,พี่ชาย,kapatid na lalaki,Erkek kardeş,абый,брат,بھائی,aka,Anh trai,ubhuti,兄弟,umfowenu
let,verhuur,يترك,buraxmaq,дазваляць,позволявам,deixar,nechat,gadawent,lade,Lassen,αφήνω,lasu,dejar,lasta,utzi,اجازه دهید,päästää,laisser,let.,ભાવિ,תן,होने देना,pustiti,enged,թույլ տալ,membiarkan,Látum,permettere,させて,გაშვება,рұқсат ету,ಅವಕಾಶ,허락하다,болсун,leisti,ļaut,tuku,Нека,зөвшөөрөх,लिहा,beritahu,Let.,la,laat,ਕਰੀਏ,pozwalać,پرېږده,deixei,lăsa,позволять,nechať,pustiti,lë,låta,Hebu,விடு,వీలు,อนุญาต,Hayaan,İzin Vermek,рөхсәт ит,дозволяти,چلو,ijozat bering,cho phép,vumela,让,vumela
because,omdat,لأن,çünki,бо,заради,perquè,protože,oherwydd,fordi,weil,επειδή,Ĉar,porque,Sest,zeren ... bait,زیرا,koska,car,Por mor,કારણ કે,כי,चूंकि,jer,mivel,որովհետեւ,karena,vegna þess að,perché,なぜなら,იმიტომ რომ,сондықтан,ಏಕೆಂದರೆ,왜냐하면,анткени,Nes,jo,nō te mea,затоа што,тул,कारण,kerana.,Minħabba,fordi,omdat,ਕਿਉਂਕਿ,bo,ځکه,Porque,deoarece,так как,pretože,Ker,sepse,eftersom,Kwa sababu,ஏனெனில்,ఎందుకంటే,เพราะ,dahil,Çünkü,чөнки,тому що,کیونکہ,chunki,bởi vì,kuba,因为,ngokuba
